0.275   - диаметр D2, м
0.05    - диаметр D1, м
0.044   - ширина b2, м
0.042   - ширина B, м
0.067   - диаметр d0, м
1450    - частота вращения вала n, об/мин
41.6    - напор H, м
1000    - плотность перекачиваемой жидкости Ro, кг/м^3
Q,м^3/ч   H,м      N,Вт      КПД,%
0.00000   47.040    3400.000   0.0
5.00000   46.880    3700.000  10.0
10.00000   46.720    4000.000  20.0
15.00000   46.400    4400.000  27.5
20.00000   45.760    4800.000  33.0
25.00000   44.800    5300.000  36.5
30.00000   43.360    5700.000  39.0
35.00000   41.600    6100.000  40.0
40.00000   39.360    6600.000  40.0
45.00000   36.800    7100.000  38.5
50.00000   33.760    7700.000  36.5
55.00000   30.400    8300.000  34.0
60.00000   26.400    9000.000  31.0
65.00000   23.200    9800.000  28.0
