“£®«  Ct       Cr
0    -0.086    1.52
10   -0.032    0.87
20    0.0      0.565
30    0.0      0.543
40    0.0      0.543
50    0.0      0.565
60    0.021    0.586
70    0.043    0.695
80    0.065    0.728
90    0.1      0.913
100   0.152    1.021
110   0.195    1.065
120   0.26     1.108
130   0.283    1.13
140   0.283    1.108
150   0.239    1.065
160   0.152    0.934
170   0.033    0.847
180  -0.086    1.521
190   0.0      0.217
200   0.261   -1.152
210   0.37    -1.217
220   0.413   -1.239
230   0.413   -1.228
240   0.38    -1.196
250   0.337   -1.174
260   0.304   -1.152
270   0.261   -1.13
280   0.196   -1.087
290   0.163   -1.054
300   0.098   -1.022
310   0.054   -0.978
320   0.0     -0.891
330  -0.065   -0.587
340  -0.13     0.0
350  -0.174    0.652
